,location,lat,lon,type
0,The Rocks,-33.86,151.208,Area
1,Opera House,-33.8568,151.215,
2,Harbour Bridge,-33.8516,151.211,
3,Sydney Observatory Hill Park,-33.859581,151.204806,Area
4,Palm Beach,-33.6005,151.323,Area
5,Manly,-33.8039,151.291,Area
6,Bondi,-33.8907,151.272,Area
7,Coogee,-33.9217,151.256,Area
8,Bronte,-33.9042,151.264,Area
9,Dee Why,-33.7537,151.29,Area
10,Royal Botanic Gardens,-33.864346,151.216603,
11,Mrs. Macquarie's Chair,-33.8597,151.2225,Area
12,Blue Mountains,-33.714359,150.311539,Area
13,Wentworth Falls,-33.7167,150.3667,Area
14,the Three Sisters,-33.732005,150.313216,Area
15,Hyde Park Barracks,-33.8696,151.2128,
16,Art Gallery of New South Wales,-33.8688,151.2174,
17,Museum of Contemporary Art,-33.8599,151.2090,
18,Nicholson Museum,-33.8865,151.1888,
19,Australian National Maritime Museum,-33.8692,151.1986,
20,White Rabbit Gallery,-33.886489,151.200294,
21,The Rocks Discovery Museum,-33.8587,151.2086
22,Australian Museum,-33.8743,151.2132,
23,Justice and Police Museum,-33.862179,151.212209,
24,Museum of Sydney,-33.8636,151.2114,
25,Sydney Jewish Museum,-33.8790,151.2203,
26,Umina Beach,-33.528168,151.308189,Area
27,Collaroy Beach,-33.7315,151.3002,Area
28,Corrimal Beach,-34.380334,150.915929,Area
29,Freshwater Beach,-33.7810,151.2906,Area
30,Hunter Valley,-32.1932,151.7006,Area
31,Sydney Tower,-33.8705,151.2088,
32,Rose Bay,-33.8754,151.2656,Area
33,Watson's Bay,-33.8398,151.2817,Area
34,Dover Heights,-33.8718,151.2784,Area
35,Chowder Bay,-33.839577,151.252515,Area
36,Balmoral Beach,-33.8258,151.2516,Area
37,Jibbon Beach Loop Track,-34.0817,151.1615,Area
38,the Spit,-33.8069,151.2468,Area
39,Paddington Markets,-33.886887,151.229790,
40,Fish market,-33.872930,151.192764,
41,Glebe Market,-33.883285,151.191199,
42,Rozelle Collectors Market,-33.862797,151.169676,
43,Orange Grove Organic Market,-33.871941,151.159507,
44,King's Cross,-33.8734,151.2242,Area
45,World Bar,-33.8749,151.2240,Food/Drinks
46,Bondi Iceburgs,-33.8953,151.2744,Food/Drinks
47,Central,-33.8832,151.2070,Transport
48,Bondi Junction,-33.8914,151.2497,Area
49,Bondi Beach,-33.8915,151.2767,Area
50,Circular Quay,-33.8611,151.2126,Area
51,Sydney Harbour,-33.8462,151.2489,Area
52,Hyde Park,-33.8731,151.2113,Area
53,St Mary's cathedral,-33.8712,151.2133,
54,Art Gallery of NSW,-33.8688,151.2174,
55,Taronga Zoo,-33.8435,151.2413,
56,Middle Harbour,-33.79999722,151.23333333,Area
57,Freshwater,-33.7749,151.2878,Area
58,Queenscliff,-33.7825,151.2847,Area
59,Balmoral,-33.8264,151.2513,Area
60,Clovelly,-33.9121,151.2629,Area
61,Surry Hills,-33.8861,151.2111,Area
62,Paddington,-33.8850,151.2262,Area
63,Darlinghurst,-33.8780,151.2204,Area
64,Darling Harbour,-33.8749,151.2009,Area
65,Convention Centre,-33.8749,151.1995
